micro_zone,distributionType,n,scenario,dc
100,MOTORIZED,775,0-REG: Nur Transporter,10
101,MOTORIZED,447,0-REG: Nur Transporter,10
102,MOTORIZED,114,0-REG: Nur Transporter,10
109,MOTORIZED,91,0-REG: Nur Transporter,10
110,MOTORIZED,164,0-REG: Nur Transporter,10
111,MOTORIZED,721,0-REG: Nur Transporter,10
112,MOTORIZED,941,0-REG: Nur Transporter,10
113,MOTORIZED,1089,0-REG: Nur Transporter,10
114,MOTORIZED,1174,0-REG: Nur Transporter,10
115,MOTORIZED,788,0-REG: Nur Transporter,10
116,MOTORIZED,410,0-REG: Nur Transporter,10
117,MOTORIZED,129,0-REG: Nur Transporter,10
124,MOTORIZED,195,0-REG: Nur Transporter,10
125,MOTORIZED,881,0-REG: Nur Transporter,10
126,MOTORIZED,1161,0-REG: Nur Transporter,10
127,MOTORIZED,742,0-REG: Nur Transporter,10
128,MOTORIZED,522,0-REG: Nur Transporter,10
129,MOTORIZED,703,0-REG: Nur Transporter,10
130,MOTORIZED,952,0-REG: Nur Transporter,10
131,MOTORIZED,376,0-REG: Nur Transporter,10
132,MOTORIZED,84,0-REG: Nur Transporter,10
141,MOTORIZED,512,0-REG: Nur Transporter,10
142,MOTORIZED,365,0-REG: Nur Transporter,10
143,MOTORIZED,161,0-REG: Nur Transporter,10
144,MOTORIZED,265,0-REG: Nur Transporter,10
145,MOTORIZED,506,0-REG: Nur Transporter,10
146,MOTORIZED,306,0-REG: Nur Transporter,10
147,MOTORIZED,336,0-REG: Nur Transporter,10
156,MOTORIZED,99,0-REG: Nur Transporter,10
157,MOTORIZED,205,0-REG: Nur Transporter,10
158,MOTORIZED,223,0-REG: Nur Transporter,10
159,MOTORIZED,150,0-REG: Nur Transporter,10
160,MOTORIZED,144,0-REG: Nur Transporter,10
161,MOTORIZED,233,0-REG: Nur Transporter,10
162,MOTORIZED,304,0-REG: Nur Transporter,10
174,MOTORIZED,148,0-REG: Nur Transporter,10
175,MOTORIZED,157,0-REG: Nur Transporter,10
176,MOTORIZED,146,0-REG: Nur Transporter,10
177,MOTORIZED,180,0-REG: Nur Transporter,10
190,MOTORIZED,166,0-REG: Nur Transporter,10
191,MOTORIZED,159,0-REG: Nur Transporter,10
53,MOTORIZED,941,0-REG: Nur Transporter,10
54,MOTORIZED,681,0-REG: Nur Transporter,10
67,MOTORIZED,712,0-REG: Nur Transporter,10
68,MOTORIZED,1162,0-REG: Nur Transporter,10
69,MOTORIZED,819,0-REG: Nur Transporter,10
83,MOTORIZED,1063,0-REG: Nur Transporter,10
84,MOTORIZED,1178,0-REG: Nur Transporter,10
85,MOTORIZED,1214,0-REG: Nur Transporter,10
86,MOTORIZED,798,0-REG: Nur Transporter,10
97,MOTORIZED,898,0-REG: Nur Transporter,10
98,MOTORIZED,1588,0-REG: Nur Transporter,10
99,MOTORIZED,1140,0-REG: Nur Transporter,10
100,MOTORIZED,747,1-REG: Optimiert ,10
101,MOTORIZED,468,1-REG: Optimiert ,10
102,MOTORIZED,96,1-REG: Optimiert ,10
109,MOTORIZED,89,1-REG: Optimiert ,10
110,MOTORIZED,158,1-REG: Optimiert ,10
111,CARGO_BIKE,191,1-REG: Optimiert ,10
111,MOTORIZED,537,1-REG: Optimiert ,10
112,CARGO_BIKE,243,1-REG: Optimiert ,10
112,MOTORIZED,697,1-REG: Optimiert ,10
113,CARGO_BIKE,275,1-REG: Optimiert ,10
113,MOTORIZED,830,1-REG: Optimiert ,10
114,CARGO_BIKE,318,1-REG: Optimiert ,10
114,MOTORIZED,812,1-REG: Optimiert ,10
115,CARGO_BIKE,209,1-REG: Optimiert ,10
115,MOTORIZED,597,1-REG: Optimiert ,10
116,MOTORIZED,410,1-REG: Optimiert ,10
117,MOTORIZED,125,1-REG: Optimiert ,10
124,MOTORIZED,185,1-REG: Optimiert ,10
125,MOTORIZED,917,1-REG: Optimiert ,10
126,MOTORIZED,1200,1-REG: Optimiert ,10
127,CARGO_BIKE,163,1-REG: Optimiert ,10
127,MOTORIZED,580,1-REG: Optimiert ,10
128,CARGO_BIKE,128,1-REG: Optimiert ,10
128,MOTORIZED,419,1-REG: Optimiert ,10
129,CARGO_BIKE,201,1-REG: Optimiert ,10
129,MOTORIZED,518,1-REG: Optimiert ,10
130,CARGO_BIKE,275,1-REG: Optimiert ,10
130,MOTORIZED,701,1-REG: Optimiert ,10
131,MOTORIZED,363,1-REG: Optimiert ,10
132,MOTORIZED,103,1-REG: Optimiert ,10
141,MOTORIZED,457,1-REG: Optimiert ,10
142,CARGO_BIKE,82,1-REG: Optimiert ,10
142,MOTORIZED,283,1-REG: Optimiert ,10
143,CARGO_BIKE,28,1-REG: Optimiert ,10
143,MOTORIZED,129,1-REG: Optimiert ,10
144,CARGO_BIKE,62,1-REG: Optimiert ,10
144,MOTORIZED,204,1-REG: Optimiert ,10
145,MOTORIZED,499,1-REG: Optimiert ,10
146,MOTORIZED,326,1-REG: Optimiert ,10
147,MOTORIZED,354,1-REG: Optimiert ,10
156,MOTORIZED,96,1-REG: Optimiert ,10
157,MOTORIZED,191,1-REG: Optimiert ,10
158,MOTORIZED,236,1-REG: Optimiert ,10
159,MOTORIZED,161,1-REG: Optimiert ,10
160,MOTORIZED,160,1-REG: Optimiert ,10
161,MOTORIZED,217,1-REG: Optimiert ,10
162,MOTORIZED,282,1-REG: Optimiert ,10
174,MOTORIZED,136,1-REG: Optimiert ,10
175,MOTORIZED,154,1-REG: Optimiert ,10
176,MOTORIZED,150,1-REG: Optimiert ,10
177,MOTORIZED,192,1-REG: Optimiert ,10
190,MOTORIZED,161,1-REG: Optimiert ,10
191,MOTORIZED,159,1-REG: Optimiert ,10
53,CARGO_BIKE,248,1-REG: Optimiert ,10
53,MOTORIZED,732,1-REG: Optimiert ,10
54,CARGO_BIKE,158,1-REG: Optimiert ,10
54,MOTORIZED,499,1-REG: Optimiert ,10
67,CARGO_BIKE,172,1-REG: Optimiert ,10
67,MOTORIZED,568,1-REG: Optimiert ,10
68,CARGO_BIKE,282,1-REG: Optimiert ,10
68,MOTORIZED,837,1-REG: Optimiert ,10
69,CARGO_BIKE,222,1-REG: Optimiert ,10
69,MOTORIZED,594,1-REG: Optimiert ,10
83,CARGO_BIKE,242,1-REG: Optimiert ,10
83,MOTORIZED,824,1-REG: Optimiert ,10
84,CARGO_BIKE,281,1-REG: Optimiert ,10
84,MOTORIZED,861,1-REG: Optimiert ,10
85,MOTORIZED,1160,1-REG: Optimiert ,10
86,MOTORIZED,811,1-REG: Optimiert ,10
97,CARGO_BIKE,214,1-REG: Optimiert ,10
97,MOTORIZED,676,1-REG: Optimiert ,10
98,CARGO_BIKE,380,1-REG: Optimiert ,10
98,MOTORIZED,1150,1-REG: Optimiert ,10
99,CARGO_BIKE,274,1-REG: Optimiert ,10
99,MOTORIZED,843,1-REG: Optimiert ,10
1409,MOTORIZED,11,2-MUC: Nur Transporter,14
1412,MOTORIZED,40,2-MUC: Nur Transporter,14
1413,MOTORIZED,28,2-MUC: Nur Transporter,14
1415,MOTORIZED,10,2-MUC: Nur Transporter,14
1416,MOTORIZED,58,2-MUC: Nur Transporter,14
1417,MOTORIZED,44,2-MUC: Nur Transporter,14
1432,MOTORIZED,49,2-MUC: Nur Transporter,14
1433,MOTORIZED,60,2-MUC: Nur Transporter,14
1435,MOTORIZED,50,2-MUC: Nur Transporter,14
1437,MOTORIZED,52,2-MUC: Nur Transporter,14
1438,MOTORIZED,44,2-MUC: Nur Transporter,14
1440,MOTORIZED,27,2-MUC: Nur Transporter,14
1442,MOTORIZED,35,2-MUC: Nur Transporter,14
1443,MOTORIZED,17,2-MUC: Nur Transporter,14
1444,MOTORIZED,18,2-MUC: Nur Transporter,14
1445,MOTORIZED,38,2-MUC: Nur Transporter,14
1447,MOTORIZED,29,2-MUC: Nur Transporter,14
1448,MOTORIZED,8,2-MUC: Nur Transporter,14
1449,MOTORIZED,31,2-MUC: Nur Transporter,14
1450,MOTORIZED,15,2-MUC: Nur Transporter,14
1452,MOTORIZED,11,2-MUC: Nur Transporter,14
1453,MOTORIZED,23,2-MUC: Nur Transporter,14
1454,MOTORIZED,19,2-MUC: Nur Transporter,14
1455,MOTORIZED,1,2-MUC: Nur Transporter,14
1456,MOTORIZED,6,2-MUC: Nur Transporter,14
1457,MOTORIZED,2,2-MUC: Nur Transporter,14
1458,MOTORIZED,12,2-MUC: Nur Transporter,14
1459,MOTORIZED,28,2-MUC: Nur Transporter,14
1460,MOTORIZED,47,2-MUC: Nur Transporter,14
