microDepotId,microDepotName,microDepotX,microDepotY,scenario,dc
54,54,4462058.908049135,5333446.312527951,1-0%,20
55,55,4462058.908049135,5334446.312527951,1-0%,20
71,71,4463058.908049135,5334446.312527951,1-0%,20
86,86,4464058.908049135,5333446.312527951,1-0%,20
87,87,4464058.908049135,5334446.312527951,1-0%,20
88,88,4464058.908049135,5335446.312527951,1-0%,20
102,102,4465058.908049135,5333446.312527951,1-0%,20
103,103,4465058.908049135,5334446.312527951,1-0%,20
118,118,4466058.908049135,5333446.312527951,1-0%,20
119,119,4466058.908049135,5334446.312527951,1-0%,20
120,120,4466058.908049135,5335446.312527951,1-0%,20
132,132,4467058.908049135,5332446.312527951,1-0%,20
133,133,4467058.908049135,5333446.312527951,1-0%,20
134,134,4467058.908049135,5334446.312527951,1-0%,20
147,147,4468058.908049135,5332446.312527951,1-0%,20
148,148,4468058.908049135,5333446.312527951,1-0%,20
149,149,4468058.908049135,5334446.312527951,1-0%,20
54,54,4462058.908049135,5333446.312527951,2-20%,20
55,55,4462058.908049135,5334446.312527951,2-20%,20
71,71,4463058.908049135,5334446.312527951,2-20%,20
86,86,4464058.908049135,5333446.312527951,2-20%,20
87,87,4464058.908049135,5334446.312527951,2-20%,20
88,88,4464058.908049135,5335446.312527951,2-20%,20
102,102,4465058.908049135,5333446.312527951,2-20%,20
103,103,4465058.908049135,5334446.312527951,2-20%,20
118,118,4466058.908049135,5333446.312527951,2-20%,20
119,119,4466058.908049135,5334446.312527951,2-20%,20
120,120,4466058.908049135,5335446.312527951,2-20%,20
132,132,4467058.908049135,5332446.312527951,2-20%,20
133,133,4467058.908049135,5333446.312527951,2-20%,20
134,134,4467058.908049135,5334446.312527951,2-20%,20
147,147,4468058.908049135,5332446.312527951,2-20%,20
148,148,4468058.908049135,5333446.312527951,2-20%,20
149,149,4468058.908049135,5334446.312527951,2-20%,20
54,54,4462058.908049135,5333446.312527951,3-40%,20
55,55,4462058.908049135,5334446.312527951,3-40%,20
71,71,4463058.908049135,5334446.312527951,3-40%,20
86,86,4464058.908049135,5333446.312527951,3-40%,20
87,87,4464058.908049135,5334446.312527951,3-40%,20
88,88,4464058.908049135,5335446.312527951,3-40%,20
102,102,4465058.908049135,5333446.312527951,3-40%,20
103,103,4465058.908049135,5334446.312527951,3-40%,20
118,118,4466058.908049135,5333446.312527951,3-40%,20
119,119,4466058.908049135,5334446.312527951,3-40%,20
120,120,4466058.908049135,5335446.312527951,3-40%,20
132,132,4467058.908049135,5332446.312527951,3-40%,20
133,133,4467058.908049135,5333446.312527951,3-40%,20
134,134,4467058.908049135,5334446.312527951,3-40%,20
147,147,4468058.908049135,5332446.312527951,3-40%,20
148,148,4468058.908049135,5333446.312527951,3-40%,20
149,149,4468058.908049135,5334446.312527951,3-40%,20
54,54,4462058.908049135,5333446.312527951,4-60%,20
55,55,4462058.908049135,5334446.312527951,4-60%,20
71,71,4463058.908049135,5334446.312527951,4-60%,20
86,86,4464058.908049135,5333446.312527951,4-60%,20
87,87,4464058.908049135,5334446.312527951,4-60%,20
88,88,4464058.908049135,5335446.312527951,4-60%,20
102,102,4465058.908049135,5333446.312527951,4-60%,20
103,103,4465058.908049135,5334446.312527951,4-60%,20
118,118,4466058.908049135,5333446.312527951,4-60%,20
119,119,4466058.908049135,5334446.312527951,4-60%,20
120,120,4466058.908049135,5335446.312527951,4-60%,20
132,132,4467058.908049135,5332446.312527951,4-60%,20
133,133,4467058.908049135,5333446.312527951,4-60%,20
134,134,4467058.908049135,5334446.312527951,4-60%,20
147,147,4468058.908049135,5332446.312527951,4-60%,20
148,148,4468058.908049135,5333446.312527951,4-60%,20
149,149,4468058.908049135,5334446.312527951,4-60%,20
54,54,4462058.908049135,5333446.312527951,5-80%,20
55,55,4462058.908049135,5334446.312527951,5-80%,20
71,71,4463058.908049135,5334446.312527951,5-80%,20
86,86,4464058.908049135,5333446.312527951,5-80%,20
87,87,4464058.908049135,5334446.312527951,5-80%,20
88,88,4464058.908049135,5335446.312527951,5-80%,20
102,102,4465058.908049135,5333446.312527951,5-80%,20
103,103,4465058.908049135,5334446.312527951,5-80%,20
118,118,4466058.908049135,5333446.312527951,5-80%,20
119,119,4466058.908049135,5334446.312527951,5-80%,20
120,120,4466058.908049135,5335446.312527951,5-80%,20
132,132,4467058.908049135,5332446.312527951,5-80%,20
133,133,4467058.908049135,5333446.312527951,5-80%,20
134,134,4467058.908049135,5334446.312527951,5-80%,20
147,147,4468058.908049135,5332446.312527951,5-80%,20
148,148,4468058.908049135,5333446.312527951,5-80%,20
149,149,4468058.908049135,5334446.312527951,5-80%,20
54,54,4462058.908049135,5333446.312527951,6-100%,20
55,55,4462058.908049135,5334446.312527951,6-100%,20
71,71,4463058.908049135,5334446.312527951,6-100%,20
86,86,4464058.908049135,5333446.312527951,6-100%,20
87,87,4464058.908049135,5334446.312527951,6-100%,20
88,88,4464058.908049135,5335446.312527951,6-100%,20
102,102,4465058.908049135,5333446.312527951,6-100%,20
103,103,4465058.908049135,5334446.312527951,6-100%,20
118,118,4466058.908049135,5333446.312527951,6-100%,20
119,119,4466058.908049135,5334446.312527951,6-100%,20
120,120,4466058.908049135,5335446.312527951,6-100%,20
132,132,4467058.908049135,5332446.312527951,6-100%,20
133,133,4467058.908049135,5333446.312527951,6-100%,20
134,134,4467058.908049135,5334446.312527951,6-100%,20
147,147,4468058.908049135,5332446.312527951,6-100%,20
148,148,4468058.908049135,5333446.312527951,6-100%,20
149,149,4468058.908049135,5334446.312527951,6-100%,20
