vehicle,customer_type,n_tours,distance,total_time,CO2,NOx,scenario,dc
Feeder (parcel shop),Via parcel shop,136,989882.7038566908,167646,584940.1613161517,1452.1025886706075,01-0% MUC,20
Long-distance,All,30,6245573.139394705,256796,3622230.648181077,3299.330485455932,01-0% MUC,20
Van,Direct to customer,130,4344677.319881919,2059796,2956638.6334271207,8507.176919059073,01-0% MUC,20
Cargo bike,Direct to customer,77,402785.3989027113,240964,0,0,02-20% MUC,20
Feeder (micro depot),Direct to customer,15,171487.6139089459,25415,107688.04293950566,285.4754210873882,02-20% MUC,20
Feeder (parcel shop),Via parcel shop,136,1337501.9692545251,213704,843864.6337356962,2250.553370873893,02-20% MUC,20
Long-distance,All,30,6245573.139394705,256799,3622230.648181077,3299.330485455932,02-20% MUC,20
Van,Direct to customer,117,3949796.380817638,1840381,2686151.8187243533,7723.332978389202,02-20% MUC,20
Cargo bike,Direct to customer,144,655069.9790745631,452410,0,0,03-40% MUC,20
Feeder (micro depot),Direct to customer,29,239173.92794417334,37625,139412.5748977329,341.14251630876646,03-40% MUC,20
Feeder (parcel shop),Via parcel shop,136,1330443.4274023653,213358,839468.227851657,2238.2963827197054,03-40% MUC,20
Long-distance,All,30,6245573.139394705,256812,3622248.9404252977,3299.395706178001,03-40% MUC,20
Van,Direct to customer,104,3593861.1883504754,1637736,2439458.601902952,6994.683539012191,03-40% MUC,20
Cargo bike,Direct to customer,212,892174.4315477964,659427,0,0,04-60% MUC,20
Feeder (micro depot),Direct to customer,43,464459.3672967482,71311,292099.01139650185,774.5835102225451,04-60% MUC,20
Feeder (parcel shop),Via parcel shop,136,998660.753906774,170142,587396.7547116653,1451.5113863652512,04-60% MUC,20
Long-distance,All,30,6245573.139394705,256796,3622230.648181077,3299.330485455932,04-60% MUC,20
Van,Direct to customer,91,3244534.6903963336,1414531,2200381.7809259687,6302.84012308365,04-60% MUC,20
Cargo bike,Direct to customer,276,1159417.0986754205,871718,0,0,05-80% MUC,20
Feeder (micro depot),Direct to customer,55,446309.5442475568,71861,260351.16817764833,637.3486662905651,05-80% MUC,20
Feeder (parcel shop),Via parcel shop,136,989882.7038566908,171426,586573.9668606988,1460.639864298278,05-80% MUC,20
Long-distance,All,30,6245573.139394705,256796,3622230.648181077,3299.330485455932,05-80% MUC,20
Van,Direct to customer,78,2902895.6704535037,1204481,1953035.6556228488,5551.576722420562,05-80% MUC,20
Cargo bike,Direct to customer,345,1374392.0548880408,1071489,0,0,06-100% MUC,20
Feeder (micro depot),Direct to customer,70,549993.9937402848,89138,320172.4093971013,781.7757591491466,06-100% MUC,20
Feeder (parcel shop),Via parcel shop,136,989882.7038566908,168175,583674.1464436501,1446.0014880767076,06-100% MUC,20
Long-distance,All,30,6245573.139394705,256803,3622230.648181077,3299.330485455932,06-100% MUC,20
Van,Direct to customer,64,2548048.972029702,994110,1714665.1479447738,4872.762496280299,06-100% MUC,20
Feeder (parcel shop),Via parcel shop,455,7931563.115254106,701783,4485687.316993388,7899.346566081738,07-0% REG,10
Long-distance,All,112,39905388.81319946,1596915,22985000.138113063,22199.652921881698,07-0% REG,10
Van,Direct to customer,305,19769324.61991809,6875191,12910163.527736388,34256.96040097828,07-0% REG,10
Cargo bike,Direct to customer,148,921282.6879993367,533389,0,0,08-20% REG,10
Feeder (micro depot),Direct to customer,29,607108.6237215911,52705,346910.0542220753,651.237250108063,08-20% REG,10
Feeder (parcel shop),Via parcel shop,453,7923823.177945442,698149,4482167.442661146,7872.92426542821,08-20% REG,10
Long-distance,All,112,39905388.81319946,1596922,22984992.649294596,22199.63865792975,08-20% REG,10
Van,Direct to customer,283,18603064.668960392,6301200,12138088.459136909,32186.402324058723,08-20% REG,10
Cargo bike,Direct to customer,282,1441904.8512048435,997972,0,0,09-40% REG,10
Feeder (micro depot),Direct to customer,58,1586994.2916030746,139528,947242.2213777782,1936.454190328925,09-40% REG,10
Feeder (parcel shop),Via parcel shop,452,7935832.4685135875,702037,4490305.111375989,7897.503703868332,09-40% REG,10
Long-distance,All,112,39905388.81319946,1596913,22984992.649294596,22199.63865792975,09-40% REG,10
Van,Direct to customer,263,16344541.284988856,5616568,10685248.338409081,28314.813264563472,09-40% REG,10
Cargo bike,Direct to customer,411,2071698.3254876074,1481667,0,0,10-60% REG,10
Feeder (micro depot),Direct to customer,85,2305325.814334098,201929,1372427.4957662742,2784.6039067853817,10-60% REG,10
Feeder (parcel shop),Via parcel shop,455,7957329.565100491,690149,4491281.331200427,7885.45040654818,10-60% REG,10
Long-distance,All,112,39905388.81319946,1596993,22985077.811259586,22199.97510852932,10-60% REG,10
Van,Direct to customer,228,15199418.699940747,5082968,9920819.652666386,26444.46462051095,10-60% REG,10
Cargo bike,Direct to customer,536,2631976.0453031603,1951292,0,0,11-80% REG,10
Feeder (micro depot),Direct to customer,114,2979272.1308442713,308374,1785162.4363905902,3625.632028837807,11-80% REG,10
Feeder (parcel shop),Via parcel shop,452,10713190.562728235,1046835,6401241.4449074725,12873.74271806978,11-80% REG,10
Long-distance,All,112,39905388.81319946,1596917,22984998.12959186,22199.66851500197,11-80% REG,10
Van,Direct to customer,195,14074502.274929984,4496211,9179334.953622209,24448.57934500813,11-80% REG,10
Cargo bike,Direct to customer,665,3281466.1488222624,2441049,0,0,12-100% REG,10
Feeder (micro depot),Direct to customer,142,3739060.6821481134,326061,2226466.135377005,4475.342377231086,12-100% REG,10
Feeder (parcel shop),Via parcel shop,453,7928634.418219112,697367,4482201.9064357085,7870.880445059506,12-100% REG,10
Long-distance,All,112,39905388.81319946,1596913,22984996.942364786,22199.659482824867,12-100% REG,10
Van,Direct to customer,177,12297791.239436721,3869784,8015587.572370899,21441.53129372371,12-100% REG,10
