toDestination,vehicle,customer_type,weight_kg,n,scenario,dc
Von Kunden gesendet,Transporter,Direkt zu/von Kunden,33866.51068698324,4080,0-REG: Nur Transporter,10
Von Kunden gesendet,Transporter,In Paketshop,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,Transporter,Gesamt,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,Lastenrad,Direkt zu/von Kunden,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,Lastenrad,In Paketshop,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,Lastenrad,Gesamt,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,LKW der Fernverkehr,Direkt zu/von Kunden,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,LKW der Fernverkehr,In Paketshop,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,LKW der Fernverkehr,Gesamt,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,Zulieferer - Paketshop,Direkt zu/von Kunden,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,Zulieferer - Paketshop,In Paketshop,132152.88512898207,16128,0-REG: Nur Transporter,10
Von Kunden gesendet,Zulieferer - Paketshop,Gesamt,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,Transporter,Direkt zu/von Kunden,61482.53661690907,7695,0-REG: Nur Transporter,10
Zu Kunden geliefert,Transporter,In Paketshop,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,Transporter,Gesamt,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,Lastenrad,Direkt zu/von Kunden,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,Lastenrad,In Paketshop,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,Lastenrad,Gesamt,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,LKW der Fernverkehr,Direkt zu/von Kunden,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,LKW der Fernverkehr,In Paketshop,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,LKW der Fernverkehr,Gesamt,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,Zulieferer - Paketshop,Direkt zu/von Kunden,0,0,0-REG: Nur Transporter,10
Zu Kunden geliefert,Zulieferer - Paketshop,In Paketshop,16497.203631421526,1954,0-REG: Nur Transporter,10
Zu Kunden geliefert,Zulieferer - Paketshop,Gesamt,0,0,0-REG: Nur Transporter,10
Von Kunden gesendet,Transporter,Direkt zu/von Kunden,32929.260287096586,3963,1-REG: Optimiert ,10
Von Kunden gesendet,Transporter,In Paketshop,0,0,1-REG: Optimiert ,10
Von Kunden gesendet,Transporter,Gesamt,0,0,1-REG: Optimiert ,10
Von Kunden gesendet,Lastenrad,Direkt zu/von Kunden,0,0,1-REG: Optimiert ,10
Von Kunden gesendet,Lastenrad,In Paketshop,0,0,1-REG: Optimiert ,10
