micro_zone,microDepotId,scenario,dc
128,7,0-REG: Nur Transporter,10
129,7,0-REG: Nur Transporter,10
130,6,0-REG: Nur Transporter,10
131,6,0-REG: Nur Transporter,10
132,6,0-REG: Nur Transporter,10
141,8,0-REG: Nur Transporter,10
142,8,0-REG: Nur Transporter,10
143,7,0-REG: Nur Transporter,10
144,7,0-REG: Nur Transporter,10
145,6,0-REG: Nur Transporter,10
146,6,0-REG: Nur Transporter,10
147,6,0-REG: Nur Transporter,10
156,12,0-REG: Nur Transporter,10
157,12,0-REG: Nur Transporter,10
158,11,0-REG: Nur Transporter,10
159,11,0-REG: Nur Transporter,10
160,10,0-REG: Nur Transporter,10
161,10,0-REG: Nur Transporter,10
162,10,0-REG: Nur Transporter,10
174,11,0-REG: Nur Transporter,10
175,10,0-REG: Nur Transporter,10
176,10,0-REG: Nur Transporter,10
177,10,0-REG: Nur Transporter,10
53,1,0-REG: Nur Transporter,10
54,1,0-REG: Nur Transporter,10
190,10,0-REG: Nur Transporter,10
191,10,0-REG: Nur Transporter,10
67,2,0-REG: Nur Transporter,10
68,1,0-REG: Nur Transporter,10
69,1,0-REG: Nur Transporter,10
83,1,0-REG: Nur Transporter,10
84,1,0-REG: Nur Transporter,10
85,1,0-REG: Nur Transporter,10
86,3,0-REG: Nur Transporter,10
97,5,0-REG: Nur Transporter,10
98,4,0-REG: Nur Transporter,10
99,4,0-REG: Nur Transporter,10
100,3,0-REG: Nur Transporter,10
101,3,0-REG: Nur Transporter,10
102,3,0-REG: Nur Transporter,10
109,9,0-REG: Nur Transporter,10
110,9,0-REG: Nur Transporter,10
111,5,0-REG: Nur Transporter,10
112,5,0-REG: Nur Transporter,10
113,4,0-REG: Nur Transporter,10
114,4,0-REG: Nur Transporter,10
115,3,0-REG: Nur Transporter,10
116,3,0-REG: Nur Transporter,10
117,3,0-REG: Nur Transporter,10
124,9,0-REG: Nur Transporter,10
125,9,0-REG: Nur Transporter,10
126,8,0-REG: Nur Transporter,10
127,8,0-REG: Nur Transporter,10
128,7,1-REG: Optimiert ,10
129,7,1-REG: Optimiert ,10
130,6,1-REG: Optimiert ,10
131,6,1-REG: Optimiert ,10
132,6,1-REG: Optimiert ,10
141,8,1-REG: Optimiert ,10
