DC13;DC14;DC16
0;0;0
1.483921007;1.37327025;1.594571765
0;0;0
0;0;0
4.160258338;4.47496599;3.845550685
8.620833333;8.387083333;8.854583333
5.340387699;5.842618517;4.838156881
2.094604489;2.526051787;1.66315719
13.82083333;13.88708333;13.75458333
13.16875;12.735625;13.601875
13.87674473;13.50307576;14.2504137
13.88179862;13.4235482;14.34004905
0;0;0
6.656200398;5.881435713;7.430965083
19.95416667;19.90291667;20.00541667
27.89791667;26.53979167;29.25604167
26.03645833;26.07177083;26.00114583
11.19238775;11.28573173;11.09904377
0;0;0
0;0;0
12.16793687;12.9488579;11.38701584
15.45208333;15.16770833;15.73645833
31.17395833;30.82677083;31.52114583
9.708061557;9.877807837;9.538315276
0;0;0
0;0;0
5.671251912;5.386665625;5.955838199
13.053125;13.0146875;13.0915625
11.85989633;11.81651228;11.90328038
0;0;0
0;0;0
6.983196952;7.554209035;6.412184869
0;0;0
