DC13;DC14;DC16
0;0;0
2.350256393;2.314230565;2.386282221
0;0;0
0;0;0
7.283439066;8.223977654;6.342900478
14.10833333;14.58083333;13.63583333
9.458680407;10.82977054;8.087590274
3.970393369;4.898932648;3.041854089
23.10833333;24.60083333;21.61583333
21.46666667;22.06166667;20.87166667
22.71272014;23.47761299;21.94782728
22.6271639;23.25159305;22.00273475
0;0;0
10.23281768;9.607163245;10.85847212
33.2;35.11;31.29
44.9875;45.51375;44.46125
43.43333333;46.09583333;40.77083333
18.75769511;20.03250719;17.48288304
0;0;0
0;0;0
21.14758482;23.66591356;18.62925609
25.4375;26.50875;24.36625
51.57083333;54.10958333;49.03208333
16.36870957;17.6224262;15.11499295
0;0;0
0;0;0
9.135879534;9.228694246;9.043064822
21.7125;22.95375;20.47125
19.71828939;20.83197227;18.60460651
0;0;0
0;0;0
12.27311946;13.92312596;10.62311296
0;0;0
