DC13;DC14;DC16
0;0;0
3.52538459;3.471345848;3.579423332
0;0;0
0;0;0
10.9251586;12.33596648;9.514350716
21.1625;21.87125;20.45375
14.18802061;16.24465581;12.13138541
5.955590053;7.348398973;4.562781133
34.6625;36.90125;32.42375
32.2;33.0925;31.3075
34.06908021;35.21641949;32.92174092
33.94074585;34.87738957;33.00410212
0;0;0
15.34922652;14.41074487;16.28770817
49.8;52.665;46.935
67.48125;68.270625;66.691875
65.15;69.14375;61.15625
28.13654267;30.04876078;26.22432455
0;0;0
0;0;0
31.72137724;35.49887034;27.94388413
38.15625;39.763125;36.549375
77.35625;81.164375;73.548125
24.55306436;26.43363929;22.67248942
0;0;0
0;0;0
13.7038193;13.84304137;13.56459723
32.56875;34.430625;30.706875
29.57743408;31.24795841;27.90690976
0;0;0
0;0;0
18.40967919;20.88468894;15.93466943
0;0;0
