DC13;DC14;DC16
0;0;0
4.391719976;4.412306163;4.371133789
0;0;0
0;0;0
14.04833933;16.08497814;12.01170051
26.65;28.065;25.235
18.30631332;21.23180783;15.3808188
7.831378933;9.721279834;5.941478032
43.95;47.615;40.285
40.49791667;42.41854167;38.57729167
42.90505561;45.19095673;40.6191545
42.68611112;44.70543443;40.66678781
0;0;0
18.9258438;18.1364724;19.71521521
63.04583333;67.87208333;58.21958333
84.57083333;87.24458333;81.89708333
82.546875;89.1678125;75.9259375
35.70185003;38.79553624;32.60816382
0;0;0
0;0;0
40.70102519;46.215926;35.18612437
48.14166667;51.10416667;45.17916667
97.753125;104.4471875;91.0590625
31.21371238;34.17825765;28.2491671
0;0;0
0;0;0
17.16844692;17.68506999;16.65182385
41.228125;44.3696875;38.0865625
37.43582714;40.26341839;34.60823588
0;0;0
0;0;0
23.69960169;27.25360586;20.14559752
0;0;0
