,13,14,16
2,0,0,0
3,1.105567488,1.023129219,1.188005758
4,0,0,0
7,0,0,0
8,3.709141489,3.989723875,3.428559103
9,8.620833333,8.387083333,8.854583333
10,1.210599921,1.324449443,1.096750398
13,1.468009989,1.770391153,1.165628825
14,13.82083333,13.88708333,13.75458333
15,13.16875,12.735625,13.601875
16,13.79311041,13.42169352,14.1645273
17,11.85774897,11.46631421,12.24918374
18,0,0,0
19,3.850051862,3.401915682,4.298188042
20,19.95416667,19.90291667,20.00541667
21,27.89791667,26.53979167,29.25604167
22,26.03645833,26.07177083,26.00114583
23,7.060479153,7.119363212,7.001595093
24,0,0,0
25,0,0,0
26,11.59016052,12.33400068,10.84632036
27,15.45208333,15.16770833,15.73645833
28,31.17395833,30.82677083,31.52114583
29,5.605705587,5.703721825,5.507689348
31,0,0,0
32,0,0,0
33,4.796107306,4.555436217,5.036778394
34,13.053125,13.0146875,13.0915625
35,9.125620798,9.092238854,9.159002742
38,0,0,0
39,0,0,0
40,3.326986718,3.599032549,3.054940887
41,0,0,0
