,13,14,16
2,0,0,0
3,1.751014404,1.724174037,1.77785477
4,0,0,0
7,0,0,0
8,6.493660688,7.332212146,5.655109229
9,14.10833333,14.58083333,13.63583333
10,2.144166004,2.4549752,1.833356808
13,2.782662386,3.433431992,2.13189278
14,23.10833333,24.60083333,21.61583333
15,21.46666667,22.06166667,20.87166667
16,22.57583191,23.33611481,21.81554902
17,19.32798745,19.86137108,18.79460382
18,0,0,0
19,5.918824014,5.556935568,6.280712461
20,33.2,35.11,31.29
21,44.9875,45.51375,44.46125
22,43.43333333,46.09583333,40.77083333
23,11.83289199,12.63708,11.02870397
24,0,0,0
25,0,0,0
26,20.14342327,22.54217292,17.74467362
27,25.4375,26.50875,24.36625
28,51.57083333,54.10958333,49.03208333
29,9.451749576,10.17568053,8.72781862
31,0,0,0
32,0,0,0
33,7.726099855,7.804592105,7.647607606
34,21.7125,22.95375,20.47125
35,15.17227695,16.02920245,14.31535144
38,0,0,0
39,0,0,0
40,5.847251009,6.633359399,5.061142619
41,0,0,0
