,13,14,16
2,0,0,0
3,2.626521606,2.586261055,2.666782156
4,0,0,0
7,0,0,0
8,9.740491031,10.99831822,8.482663843
9,21.1625,21.87125,20.45375
10,3.216249006,3.6824628,2.750035212
13,4.173993579,5.150147988,3.19783917
14,34.6625,36.90125,32.42375
15,32.2,33.0925,31.3075
16,33.86374787,35.00417221,32.72332353
17,28.99198117,29.79205661,28.19190572
18,0,0,0
19,8.878236022,8.335403351,9.421068692
20,49.8,52.665,46.935
21,67.48125,68.270625,66.691875
22,65.15,69.14375,61.15625
23,17.74933798,18.95562,16.54305596
24,0,0,0
25,0,0,0
26,30.2151349,33.81325938,26.61701043
27,38.15625,39.763125,36.549375
28,77.35625,81.164375,73.548125
29,14.17762436,15.2635208,13.09172793
31,0,0,0
32,0,0,0
33,11.58914978,11.70688816,11.47141141
34,32.56875,34.430625,30.706875
35,22.75841542,24.04380368,21.47302716
38,0,0,0
39,0,0,0
40,8.770876513,9.950039098,7.591713928
41,0,0,0
