,13,14,16
2,0,0,0
3,3.271968521,3.287305873,3.256631168
4,0,0,0
7,0,0,0
8,12.52501023,14.34080649,10.70921397
9,26.65,28.065,25.235
10,4.149815089,4.812988556,3.486641621
13,5.488645976,6.813188827,4.164103125
14,43.95,47.615,40.285
15,40.49791667,42.41854167,38.57729167
16,42.64646938,44.9185935,40.37434525
17,36.46221964,38.18711348,34.73732581
18,0,0,0
19,10.94700817,10.49042324,11.40359311
20,63.04583333,67.87208333,58.21958333
21,84.57083333,87.24458333,81.89708333
22,82.546875,89.1678125,75.9259375
23,22.52175082,24.47333679,20.57016484
24,0,0,0
25,0,0,0
26,38.76839765,44.02143161,33.51536368
27,48.14166667,51.10416667,45.17916667
28,97.753125,104.4471875,91.0590625
29,18.02366835,19.7354795,16.3118572
31,0,0,0
32,0,0,0
33,14.51914233,14.95604405,14.08224062
34,41.228125,44.3696875,38.0865625
35,28.80507157,30.98076728,26.62937586
38,0,0,0
39,0,0,0
40,11.2911408,12.98436595,9.59791566
41,0,0,0
